timestamp,open,high,low,close,volume
2025-10-01T00:00:00Z,4145.98,4153.28,4145.01,4146.75,475.91757685
2025-10-01T00:15:00Z,4146.74,4148.17,4131.6,4134.19,511.17666439
2025-10-01T00:30:00Z,4133.57,4143.19,4125.78,4127.73,697.3028639
2025-10-01T00:45:00Z,4127.72,4149.92,4125.0,4149.79,1195.79982749
2025-10-01T01:00:00Z,4149.93,4158.21,4143.16,4152.26,736.48922818
2025-10-01T01:15:00Z,4152.26,4160.56,4143.91,4154.0,717.88932228
2025-10-01T01:30:00Z,4154.04,4167.95,4146.57,4164.37,698.90840705
2025-10-01T01:45:00Z,4165.1,4175.73,4164.52,4171.75,1157.14256949
2025-10-01T02:00:00Z,4171.88,4171.88,4162.11,4164.45,823.48369024
2025-10-01T02:15:00Z,4164.44,4172.55,4162.04,4167.39,1282.24834675
2025-10-01T02:30:00Z,4167.4,4167.99,4160.05,4160.05,584.21049245
2025-10-01T02:45:00Z,4160.16,4161.6,4152.95,4153.51,780.86069712
2025-10-01T03:00:00Z,4153.72,4154.39,4144.93,4151.07,1409.9225133
2025-10-01T03:15:00Z,4151.19,4152.46,4141.31,4141.94,934.55513601
2025-10-01T03:30:00Z,4142.07,4149.58,4137.28,4138.83,390.75730082
2025-10-01T03:45:00Z,4138.82,4138.82,4128.46,4129.32,477.2190132
2025-10-01T04:00:00Z,4129.75,4149.53,4127.33,4142.6,626.49791109
2025-10-01T04:15:00Z,4142.64,4151.8,4142.06,4151.1,521.092447
2025-10-01T04:30:00Z,4151.11,4157.88,4145.1,4147.19,517.62747795
2025-10-01T04:45:00Z,4147.2,4152.96,4137.26,4141.16,790.11839046
2025-10-01T05:00:00Z,4141.22,4157.07,4140.64,4149.93,829.85037571
2025-10-01T05:15:00Z,4149.94,4157.4,4145.0,4149.11,1025.87355645
2025-10-01T05:30:00Z,4149.34,4154.65,4145.26,4151.97,644.58005658
2025-10-01T05:45:00Z,4151.98,4153.5,4144.17,4145.06,586.15001507
2025-10-01T06:00:00Z,4144.99,4147.99,4136.23,4142.61,1218.69940056
2025-10-01T06:15:00Z,4142.81,4147.15,4131.56,4136.4,795.26678833
2025-10-01T06:30:00Z,4136.38,4143.46,4133.75,4138.01,530.39823981
2025-10-01T06:45:00Z,4138.2,4138.71,4123.35,4127.25,990.83730853
2025-10-01T07:00:00Z,4127.25,4136.2,4125.39,4134.84,795.01223993
2025-10-01T07:15:00Z,4134.84,4143.05,4134.58,4141.49,434.4596081
2025-10-01T07:30:00Z,4141.63,4145.28,4138.58,4143.69,402.18607425
2025-10-01T07:45:00Z,4143.73,4149.01,4140.13,4147.04,428.30335228
2025-10-01T08:00:00Z,4146.96,4155.53,4143.7,4154.64,580.65647909
2025-10-01T08:15:00Z,4155.02,4168.32,4147.71,4167.84,1356.55587634
