timestamp,open,high,low,close,volume
2025-10-01T00:00:00Z,4145.98,4358.96,4123.35,4350.52,151382.25097815
2025-10-02T00:00:00Z,4350.52,4521.03,4335.01,4487.49,153389.71044144
2025-10-03T00:00:00Z,4487.3,4596.19,4430.08,4515.89,194121.46395236
2025-10-04T00:00:00Z,4515.89,4521.34,4442.6,4490.01,51384.17568724
2025-10-05T00:00:00Z,4489.86,4619.31,4469.69,4515.4,85645.8875434
2025-10-06T00:00:00Z,4515.4,4739.46,4489.11,4686.32,180142.07592977
2025-10-07T00:00:00Z,4686.33,4759.16,4432.47,4449.8,198779.53212198
2025-10-08T00:00:00Z,4449.81,4559.89,4411.13,4527.3,133876.75247388
2025-10-09T00:00:00Z,4526.93,4532.97,4266.83,4370.9,141076.62781726
2025-10-10T00:00:00Z,4370.72,4397.03,3510.0,3836.15,386709.49939687
2025-10-11T00:00:00Z,3836.89,3887.34,3648.28,3750.6,155467.48573337
2025-10-12T00:00:00Z,3750.8,4200.28,3698.71,4156.21,151733.45389149
2025-10-13T00:00:00Z,4156.38,4295.57,4045.49,4244.69,153339.31784774
2025-10-14T00:00:00Z,4244.69,4267.41,3892.16,4126.39,243536.31872992
2025-10-15T00:00:00Z,4126.26,4218.58,3930.31,3987.53,157726.70619812
2025-10-16T00:00:00Z,3987.28,4090.0,3826.72,3894.91,161382.6010111
2025-10-17T00:00:00Z,3895.0,3952.8,3673.64,3832.99,202879.86788105
2025-10-18T00:00:00Z,3832.86,3930.25,3820.14,3890.4,45567.63757722
2025-10-19T00:00:00Z,3890.4,4032.4,3829.23,3983.89,89989.11920544
2025-10-20T00:00:00Z,3984.11,4086.0,3908.36,3980.42,100967.70620232
2025-10-21T00:00:00Z,3980.43,4113.15,3838.88,3874.57,167898.09575775
2025-10-22T00:00:00Z,3874.8,3891.6,3711.49,3806.12,144557.44893026
2025-10-23T00:00:00Z,3806.25,3936.1,3796.77,3858.41,112678.89994476
2025-10-24T00:00:00Z,3858.41,4024.31,3847.36,3936.1,122248.90258364
2025-10-25T00:00:00Z,3936.1,3965.44,3911.88,3954.52,25280.14115745
2025-10-26T00:00:00Z,3954.5,4178.82,3919.34,4158.81,65472.37802493
2025-10-27T00:00:00Z,4159.05,4254.23,4094.72,4120.1,131419.43492108
2025-10-28T00:00:00Z,4120.0,4177.54,3931.8,3980.25,112997.59147629
2025-10-29T00:00:00Z,3980.2,4038.7,3838.0,3904.2,118300.54341506
2025-10-30T00:00:00Z,3904.17,3949.34,3676.04,3804.02,139553.89852977
2025-10-31T00:00:00Z,3804.24,3903.62,3795.51,3845.79,123546.29718716
