timestamp,open,high,low,close,volume
2025-10-01T00:00:00Z,4145.98,4153.28,4125.0,4149.79,2880.19693263
2025-10-01T01:00:00Z,4149.93,4175.73,4143.16,4171.75,3310.429527
2025-10-01T02:00:00Z,4171.88,4172.55,4152.95,4153.51,3470.80322656
2025-10-01T03:00:00Z,4153.72,4154.39,4128.46,4129.32,3212.45396333
2025-10-01T04:00:00Z,4129.75,4157.88,4127.33,4141.16,2455.3362265
2025-10-01T05:00:00Z,4141.22,4157.4,4140.64,4145.06,3086.45400381
2025-10-01T06:00:00Z,4144.99,4147.99,4123.35,4127.25,3535.20173723
2025-10-01T07:00:00Z,4127.25,4149.01,4125.39,4147.04,2059.96127456
2025-10-01T08:00:00Z,4146.96,4329.09,4143.7,4292.4,17542.61264335
2025-10-01T09:00:00Z,4292.49,4319.29,4280.8,4311.57,8815.82271548
2025-10-01T10:00:00Z,4311.57,4314.1,4280.91,4283.37,3057.58447232
2025-10-01T11:00:00Z,4283.62,4311.82,4283.62,4300.21,4990.61089615
2025-10-01T12:00:00Z,4299.89,4316.77,4281.0,4285.75,5951.85471902
2025-10-01T13:00:00Z,4285.69,4304.78,4281.06,4297.4,9399.71753506
2025-10-01T14:00:00Z,4297.53,4343.2,4293.66,4326.96,13030.06769101
2025-10-01T15:00:00Z,4326.86,4347.25,4317.28,4330.3,14165.30094698
2025-10-01T16:00:00Z,4330.32,4343.46,4321.41,4327.46,9375.42260715
2025-10-01T17:00:00Z,4327.45,4336.16,4290.8,4295.4,5343.064654
2025-10-01T18:00:00Z,4295.39,4320.99,4294.22,4310.42,5564.21213737
2025-10-01T19:00:00Z,4310.41,4342.15,4307.81,4337.07,7586.13044165
2025-10-01T20:00:00Z,4336.52,4339.5,4316.4,4337.43,7067.03359398
2025-10-01T21:00:00Z,4337.43,4337.8,4291.27,4307.68,5217.34918976
2025-10-01T22:00:00Z,4307.68,4332.4,4307.68,4315.79,4516.45103403
2025-10-01T23:00:00Z,4315.78,4358.96,4312.76,4350.52,5748.17880922
2025-10-02T00:00:00Z,4350.52,4383.5,4335.43,4337.7,6917.32736484
2025-10-02T01:00:00Z,4337.69,4401.36,4335.01,4395.8,6663.72406977
2025-10-02T02:00:00Z,4395.62,4401.72,4369.0,4388.06,3476.19716625
2025-10-02T03:00:00Z,4388.41,4401.32,4373.02,4379.3,4091.62992947
2025-10-02T04:00:00Z,4379.12,4388.0,4362.04,4374.93,2704.15857853
2025-10-02T05:00:00Z,4374.81,4399.72,4372.49,4386.44,2862.52253575
2025-10-02T06:00:00Z,4386.44,4426.11,4376.46,4406.25,7482.16175817
2025-10-02T07:00:00Z,4406.39,4412.78,4373.68,4379.03,3018.05721687
2025-10-02T08:00:00Z,4378.81,4396.72,4371.81,4390.08,2197.90184723
2025-10-02T09:00:00Z,4390.08,4398.8,4381.24,4394.28,1339.85697246
2025-10-02T10:00:00Z,4394.28,4399.29,4377.37,4382.54,2703.33899377
2025-10-02T11:00:00Z,4382.53,4397.06,4375.35,4381.99,5582.25876725
2025-10-02T12:00:00Z,4381.99,4410.63,4379.49,4409.18,4289.48580308
2025-10-02T13:00:00Z,4408.95,4422.3,4382.08,4420.5,9296.09376017
2025-10-02T14:00:00Z,4420.49,4424.12,4370.0,4377.29,8932.53031905
2025-10-02T15:00:00Z,4377.3,4446.0,4340.0,4440.1,13281.01560977
2025-10-02T16:00:00Z,4440.07,4473.93,4429.66,4451.47,9393.83108046
2025-10-02T17:00:00Z,4451.46,4481.54,4442.33,4469.9,12399.39612615
2025-10-02T18:00:00Z,4469.63,4500.0,4468.9,4490.78,10985.65875948
2025-10-02T19:00:00Z,4490.6,4521.03,4487.47,4499.0,9239.69857195
2025-10-02T20:00:00Z,4499.21,4501.1,4469.33,4494.66,8607.23639371
2025-10-02T21:00:00Z,4494.61,4500.22,4470.63,4472.01,7391.04473613
2025-10-02T22:00:00Z,4472.08,4489.38,4460.74,4467.42,5481.26010231
2025-10-02T23:00:00Z,4467.33,4490.98,4465.98,4487.49,5053.32397882
2025-10-03T00:00:00Z,4487.3,4488.0,4469.64,4472.17,2457.44776258
2025-10-03T01:00:00Z,4472.17,4483.63,4465.24,4475.32,4973.4201759
2025-10-03T02:00:00Z,4475.31,4520.0,4474.87,4514.34,6654.23592082
2025-10-03T03:00:00Z,4514.19,4563.48,4494.75,4504.55,9716.82119008
2025-10-03T04:00:00Z,4504.55,4514.42,4485.97,4501.06,4216.14120637
2025-10-03T05:00:00Z,4501.19,4506.26,4469.89,4479.8,4596.45549748
2025-10-03T06:00:00Z,4479.79,4488.6,4461.64,4475.5,3730.62792268
2025-10-03T07:00:00Z,4475.24,4479.85,4456.83,4465.95,9320.69528733
2025-10-03T08:00:00Z,4465.95,4470.39,4430.08,4469.52,3825.36698037
2025-10-03T09:00:00Z,4469.7,4484.87,4459.84,4476.56,2927.95391001
2025-10-03T10:00:00Z,4476.56,4499.55,4470.38,4492.63,2635.7644016
2025-10-03T11:00:00Z,4492.62,4493.72,4469.92,4481.99,3248.35479233
2025-10-03T12:00:00Z,4482.0,4496.59,4476.42,4486.06,2734.77459064
2025-10-03T13:00:00Z,4486.05,4508.4,4454.62,4474.8,10270.68654052
2025-10-03T14:00:00Z,4474.53,4493.4,4440.0,4486.67,9065.46843313
2025-10-03T15:00:00Z,4486.4,4546.71,4461.57,4539.09,14225.64664704
2025-10-03T16:00:00Z,4539.25,4596.19,4525.07,4530.0,42918.63356209
2025-10-03T17:00:00Z,4529.81,4530.0,4457.11,4474.75,22873.13322951
2025-10-03T18:00:00Z,4475.0,4515.4,4453.1,4515.25,10550.71250813
2025-10-03T19:00:00Z,4515.24,4548.49,4507.21,4523.2,8993.84123371
2025-10-03T20:00:00Z,4523.2,4547.5,4496.61,4539.19,6977.53255707
2025-10-03T21:00:00Z,4539.18,4541.56,4517.47,4526.14,2142.32371114
2025-10-03T22:00:00Z,4526.18,4538.79,4526.18,4531.4,2840.13763058
2025-10-03T23:00:00Z,4531.64,4532.52,4510.4,4515.89,2225.28826125
2025-10-04T00:00:00Z,4515.89,4520.8,4494.87,4505.2,2623.06266543
2025-10-04T01:00:00Z,4505.2,4505.79,4471.92,4483.58,2549.05693164
2025-10-04T02:00:00Z,4483.59,4493.54,4467.38,4488.0,3810.42946238
2025-10-04T03:00:00Z,4488.19,4492.14,4474.09,4490.44,2479.10248247
2025-10-04T04:00:00Z,4490.17,4503.79,4482.62,4497.4,2531.46012609
2025-10-04T05:00:00Z,4497.6,4514.18,4496.1,4507.41,2201.85806012
2025-10-04T06:00:00Z,4507.08,4521.34,4505.35,4510.29,2337.06050301
2025-10-04T07:00:00Z,4510.39,4517.31,4496.76,4501.31,1569.72255762
2025-10-04T08:00:00Z,4501.59,4506.28,4486.06,4492.55,1512.06425401
2025-10-04T09:00:00Z,4492.56,4505.59,4486.0,4492.81,955.2892685
2025-10-04T10:00:00Z,4492.88,4506.8,4486.15,4490.44,1115.81212202
2025-10-04T11:00:00Z,4490.45,4498.11,4483.02,4486.41,1203.3220946
2025-10-04T12:00:00Z,4486.6,4492.37,4478.41,4483.26,1471.15065097
2025-10-04T13:00:00Z,4483.01,4511.55,4481.7,4502.7,1880.68544817
2025-10-04T14:00:00Z,4502.29,4514.1,4472.36,4473.5,2599.57411292
2025-10-04T15:00:00Z,4473.12,4486.09,4444.09,4457.71,5114.25043342
2025-10-04T16:00:00Z,4457.86,4470.46,4442.6,4469.39,3489.81002791
2025-10-04T17:00:00Z,4470.47,4479.65,4455.83,4466.49,2060.26953182
2025-10-04T18:00:00Z,4466.49,4469.79,4452.6,4457.85,1429.57111478
2025-10-04T19:00:00Z,4457.75,4471.86,4457.2,4470.23,2961.35390264
2025-10-04T20:00:00Z,4470.22,4488.05,4470.22,4477.59,1456.82191595
2025-10-04T21:00:00Z,4477.6,4496.4,4477.0,4486.66,1506.1837263
2025-10-04T22:00:00Z,4486.66,4497.18,4482.57,4491.46,1553.54549444
2025-10-04T23:00:00Z,4491.46,4494.56,4484.08,4490.01,972.71880003
2025-10-05T00:00:00Z,4489.86,4495.99,4469.69,4473.74,1365.35592386
2025-10-05T01:00:00Z,4473.72,4491.29,4471.85,4490.28,1379.30918945
